3,269000.00,4891.00
3,320000.00,4051.00
3,380000.00,5947.00
3,252000.00,5250.00
5,950000.00,5890.00
3,299000.00,5137.00
4,579000.00,5170.00
4,375000.00,5068.00
5,289000.00,2897.00
3,309000.00,4754.00
3,295068.00,5966.00
3,320000.00,5340.00
3,499000.00,5544.00
4,300000.00,4286.00
3,290000.00,5370.00
3,345000.00,4107.00
4,449000.00,4157.00
3,420000.00,5630.00
3,329000.00,5612.00
3,355000.00,5547.00
3,226000.00,5022.00
3,600000.00,5660.00
3,319024.00,5876.00
4,569000.00,5035.00
3,329000.00,4700.00
3,370496.00,5600.00
3,339000.00,5845.00
3,329000.00,4700.00
3,245000.00,5072.00
3,319000.00,4797.00
3,273000.00,3456.00
3,364000.00,5600.00
5,690000.00,5000.00
3,275000.00,5189.00
3,397000.00,4363.00
4,450000.00,3629.00
3,359000.00,6190.00
3,276364.00,5710.00
3,333060.00,6100.00
4,381457.00,5510.00
3,340000.00,5231.00
3,355000.00,4494.00
4,385000.00,4278.00
4,279000.00,4359.00
3,322558.00,5710.00
3,339000.00,4644.00
3,353882.00,5900.00
4,465000.00,5167.00
3,289000.00,4617.00
3,326073.00,6150.00
4,259000.00,3889.00
4,375000.00,3947.00
3,415000.00,5432.00
6,1140000.00,5907.00
3,276000.00,5208.00
5,450000.00,3462.00
3,245000.00,5104.00
5,900000.00,5833.00
3,409000.00,3728.00
4,599000.00,4075.00
3,363133.00,6100.00
3,245700.00,4200.00
3,308066.00,6050.00
3,323357.00,5737.00
3,385000.00,4020.00
4,469000.00,5098.00
3,400000.00,5797.00
3,370000.00,5139.00
4,334573.00,4588.00
3,289000.00,4359.00
3,409000.00,4398.00
3,299000.00,5059.00
3,309000.00,5237.00
3,315000.00,3987.00
3,615000.00,5971.00
3,310000.00,4844.00
4,324900.00,4391.00
3,328842.00,5750.00
3,360000.00,3288.00
3,311766.00,5710.00
3,320000.00,4211.00
5,420000.00,4615.00
3,265000.00,5638.00
4,299000.00,4053.00
4,355000.00,4797.00
3,298000.00,4656.00
5,690000.00,5000.00
3,263000.00,5977.00
4,350000.00,4620.00
3,210000.00,4286.00
3,344000.00,5548.00
4,340000.00,4802.00
3,209000.00,4860.00
3,365000.00,5530.00
4,399000.00,4680.00
3,274000.00,3558.00
3,265000.00,5638.00
3,324000.00,4765.00
3,275000.00,4297.00
3,335000.00,4718.00
3,230000.00,5425.00
3,310000.00,4769.00
3,325000.00,5328.00
3,249999.00,4630.00
3,279000.00,4359.00
3,438691.00,5668.00
3,340000.00,5231.00
4,399000.00,4640.00
4,329999.00,4402.00
3,300000.00,4087.00
4,390000.00,3000.00
3,219999.00,4681.00
3,379000.00,5122.00
